Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Larry Nance Jr. (41495337),Larry Nance Jr.,41495337,C/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,CLE,10.61
SF,Luke Travers (41495339),Luke Travers,41495339,SF/F/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,CLE,7.71
PG/SG,EJ Harkless (41495369),EJ Harkless,41495369,PG/SG/G/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,UTA,5.64
C,Walker Kessler (41495387),Walker Kessler,41495387,C/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,UTA,38.4
SF,Chris Livingston (41495399),Chris Livingston,41495399,SF/F/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,CLE,5.42
C,Oscar Tshiebwe (41495404),Oscar Tshiebwe,41495404,C/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,UTA,13
SG,John Tonje (41495433),John Tonje,41495433,SG/G/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,UTA,0
SF,Georges Niang (41495436),Georges Niang,41495436,SF/F/UTIL,3000,UTA@CLE 01/12/2026 07:00PM ET,UTA,0
PG,Tyrese Martin (41495316),Tyrese Martin,41495316,PG/G/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,BKN,16.63
C,Dwight Powell (41495325),Dwight Powell,41495325,C/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,DAL,8.7
SF/PF,Jalen Wilson (41495327),Jalen Wilson,41495327,SF/PF/F/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,BKN,8.01
PG,Ben Saraf (41495342),Ben Saraf,41495342,PG/G/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,BKN,12.90
SG,Tyson Etienne (41495358),Tyson Etienne,41495358,SG/G/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,BKN,1.88
PF/C,E.J. Liddell (41495361),E.J. Liddell,41495361,PF/C/F/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,BKN,3.28
C,Dereck Lively II (41495365),Dereck Lively II,41495365,C/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,DAL,17.25
SF,Dante Exum (41495409),Dante Exum,41495409,SF/F/UTIL,3000,BKN@DAL 01/12/2026 08:30PM ET,DAL,0
